Sürüm,sha,Tarih,Ne yapıldı,Kapsam,Android paketi,iOS paketi
1.0.0,ee26383,24.08.2026,"""← Geri"" ayrı satıra taşındı; açılış ve yükleme deneyimi her yerde aynı",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,825451c,25.08.2026,Taslak sürerken anlam açılmıyor; ıskalanan dokunuş komşu taslağa yönleniyor,web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,17b194f,25.08.2026,Play imza parmak izi: /.well-known/assetlinks.json yayınla,yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,69d5478,26.08.2026,"Uygulama içinden hesap silme (ROADMAP madde 2, mağaza blokeri)",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,53e401c,26.08.2026,Kullanım Koşulları §2: hesabı kendin silme cümlesi (web + port),web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,42a1f67,26.08.2026,Hesap silme uyarısı kırmızı + kalın + ünlemli (web + port),web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,c947b10,26.08.2026,Canlı oyun listesi: kurucusu silinmiş oyun (created_by NULL) listeyi düşürüyordu,web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,4e9aac6,26.08.2026,Hesap menüsü: k-lig satırı puan geç gelince açık menüde hiç belirmiyordu,yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,e7e1e79,26.08.2026,Doküman bölünmesi + davet hataları görünür oldu + tanıtıma DEVAM düğmesi,web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,009d478,26.08.2026,Sürükleme donması: tahta her karede yeniden BOYANIYORDU (RepaintBoundary),yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,8d83ed6,26.08.2026,Oyun ekranı ağır çekim: bir boyamanın MALİYETİ (nömorfik dekor raster önbelleği),yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,5d8c549,26.08.2026,"""Buradan başla"" balonu: ilk hamlenin nereye yapılacağı (web + port)",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,f9c3846,27.08.2026,"Sürüm A: kapalı testten gelen dört düzeltme (dokunma hedefleri, Ara & Ekle, rozet, koltuk)",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,24c5b0c,27.08.2026,Sürüm A2: dokunma isabeti paketi — beş düzeltme (web + port),web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,0651e5e,28.08.2026,Titreşimli dokunuş kayboluyordu: bırakma kararı için AYRI eşik (web + port),web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,48f01a1,28.08.2026,Sürüm B: derin bağlantı kanalı + push bildirimleri (mağaza blokeri) + sözlük/görsel düzeltmeler,web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,6409458,28.08.2026,Bildirim kanalı IMPORTANCE_HIGH + kanal parite testi + push token yaşam döngüsü,yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,b0cff6e,29.08.2026,"Cihaz testi turu: iki push hatası, sistem font ölçeği, offline profil ve görsel düzeltmeler",web + port,ölçülmedi (5 paket),1 (#614)
1.0.0,0803b95,29.08.2026,Bağlantı dönünce avatar yeniden denensin + 3.5 kaydı,yalnız port,ölçülmedi (5 paket),1 (#614)
1.0.0,b1aa863,29.08.2026,"AD_ID izni kaldırıldı, gizlilik politikasına Google eklendi",web + port,ölçülmedi (5 paket),1 (#614)
1.0.1,7dd56ad,29.08.2026,Zorunlu güncelleme kullanılabilir hâle getirildi: sürüm 1.0.1 + mağaza butonu,yalnız port,ölçülmedi,1 (#614)
1.0.1,5b77159,29.08.2026,Yaş/cinsiyet satırı tüm skor kartlarında (web + port),web + port,ölçülmedi,1 (#614)
1.0.1,a6a1776,29.08.2026,Revert #369 — yaş/cinsiyet satırı sıradaki işlerle birlikte yayına girecek,web + port,ölçülmedi,1 (#614)
1.0.2,d3d4702,30.08.2026,Faz 1 paketi + Play In-App Update — sürüm 1.0.2,web + port,435,1 (#614)
1.0.2,37e68e4,30.08.2026,"Faz 2 (davet bildirimleri, canlıda) + kart/ikon cilası ve bir hata düzeltmesi",web + port,435,1 (#614)
1.0.2,afeb08d,30.08.2026,Faz 3: bildirime dokununca doğru yere gitme + Analytics'in ilk altı olayı,yalnız port,435,1 (#614)
1.0.2,c9a4886,31.08.2026,Header'da avatarın komşusunu boyaması + 5 yeni kelime + Faz 4 saha kayıtları,web + port,435,1 (#614)
1.0.2,d3d08a3,31.08.2026,GameHeader: pasif skor kutusunun kenarı iPhone'da kayboluyordu (outline 0.5px → 1px),web + port,435,1 (#614)
1.0.2,9a611b4,31.08.2026,"Hayalet ""Devam Eden Oyun"" + bekleyen oyun sıralaması + Üyeler başlık satırı sabit",web + port,435,1 (#614)
1.0.3,c1c0437,31.08.2026,Sürüm 1.0.3 — appVersion + pubspec birlikte artırıldı,yalnız port,449,1 (#614)
1.0.3,0783783,31.08.2026,"Bildirim rozeti gerçekten sıfırlansın (#15) + ""kaç kişi hangi sürümde"" ölçülebilsin (#12)",web + port,449,1 (#614)
1.0.3,b8d5e78,31.08.2026,Telemetriden çıkan iki çökme: derin bağlantı rotası (11 cihaz) + rafta sınır dışı erişim,yalnız port,449,1 (#614)
1.0.4,72278c3,31.08.2026,Sürüm 1.0.4 — appVersion + pubspec birlikte artırıldı,yalnız port,467,1 (#614)
1.0.4,cec6cbc,01.09.2026,"Telemetri turu: hız sınırı ZAMANA bağlandı (#10) · panelde platform filtresi (#11) · huniye ""Bitiren Cihaz""",web + port,467,1 (#614)
1.0.5,f28b3da,01.09.2026,Tahta zoom'u (1.0.5): çift dokunuşla 2× büyütme + parmakla pan,yalnız port,501,1 (#614)
1.0.5,db4ae31,01.09.2026,"Zoom, APK'dan gelen iki bulgu: bölge çizgisi kenarda incelmesin + kenarlar/boşluklar da çift dokunuş yüzeyi",yalnız port,501,1 (#614)
1.0.5,154cba8,01.09.2026,Hamle puanı rozeti kırpılmasın (APK turu 3) + telemetri sınır notu,yalnız port,501,1 (#614)
1.0.5,f12f10e,01.09.2026,Zoom tanıtım balonu (port): merkez kareyi işaret eden tek seferlik ipucu,yalnız port,501,1 (#614)
1.0.5,a238911,02.09.2026,Yazı boyutu: sabit genişlikli sütunlarda sarma (bitirme modalı puanları bölünüyordu),yalnız port,501,1 (#614)
1.0.5,df6fcce,02.09.2026,Mesaj kutusunun üstüne yönlendirme etiketi (web + port),web + port,501,1 (#614)
1.0.5,4a46900,02.09.2026,Cihaz turu: üç bulgu (k-lig sütunları · devam eden oyun kartı · alt şerit),web + port,501,1 (#614)
1.0.5,a3a7847,02.09.2026,Hamle rozeti zoom'da tahtanın dışına çiziliyordu (web + port),web + port,501,1 (#614)
1.0.5,d4d85be,02.09.2026,Rozet klibi transform'lu katmandaydı — işe yaramıyordu,web + port,501,1 (#614)
1.0.5,1abbe23,02.09.2026,"Tahta alt şeridi + rozet kırpması: portu web ile hizala, çevrimdışı hâli düzelt",web + port,501,1 (#614)
1.0.5,4a0a29b,02.09.2026,Zoom'da kalıcı çerçeve + filigranların yazı ölçeğiyle bölgeyi taşırması,yalnız port,501,1 (#614)
1.0.6,c9f03fd,03.09.2026,ROADMAP temizliği + iki gerçek hata: devam eden oyun kartlarının ayrışması ve iPad'de asılı kalan paylaşım,web + port,525,1 (#614)
1.0.6,76a7151,03.09.2026,"Liste sıralaması ""bitmeye en yakın üstte"" + madde 8 kapanışı (cihaz turu tamam)",web + port,525,1 (#614)
1.0.6,a966dec,03.09.2026,"Skor kartına kafa kafaya oran çubuğu + ""Tüm Oyunlar"" etiketi tekleşti",web + port,525,1 (#614)
1.0.6,a33fdaa,03.09.2026,"""Oyun Bitti (Yeni)"" — biten Canlı oyunun haberi + sürüm 1.0.6",web + port,525,1 (#614)
1.0.6,1bfb997,03.09.2026,Kafa kafaya çubuğunun avatarlarını büyüt (18 → 26 px),web + port,525,1 (#614)
1.0.6,d07c06d,04.09.2026,Admin verisinde iki hata: terk kaydının tarihi ve kafa kafaya teslimi,web + port,525,1 (#614)
1.0.6,711eaaa,04.09.2026,"Oyun geçmişine ""Tekrar Oyna"" (rövanş) + FAZ B ilk gerçek cihaz turunun kaydı",web + port,525,1 (#614)
1.0.7,f75a12c,04.09.2026,Kurtarma: PR açılmadığı için main'e hiç girmemiş iki iş (arka plandan dönüş = ekrana yeniden giriş),web + port,545,1 (#614)
1.0.7,19e17fe,04.09.2026,Hızlı Başlangıç'ın oyun sonu cümlesi + ROADMAP: sıradaki sürüme binecekler,web + port,545,1 (#614)
1.0.7,7312eb8,04.09.2026,"Kafa kafaya çubuğu: yazılar bara yaklaştı, 'TÜM OYUNLAR' barın hizasına oturdu",web + port,545,1 (#614)
1.0.7,b1b9daf,05.09.2026,Taş değiştirme: taslak taşlar yok olmuyor + senkron seçimi düşürüyor,web + port,545,1 (#614)
1.0.7,91325d5,05.09.2026,İnceleme 4. geçişi (temizlik): erişilemez spectating dalı ve INIT action'ı kaldırıldı,web + port,545,1 (#614)
1.0.7,45bec90,05.09.2026,Hesap menüsündeki k-lig puanı bayat kalıyordu (menü 198 ↔ tablo 200),web + port,545,1 (#614)
1.0.7,78383eb,06.09.2026,Sürüm 1.0.7 — kapalı teste gönderilecek paket (yalnız sürüm adı),yalnız port,545,1 (#614)
1.0.8,fb5eb51,06.09.2026,"ROADMAP #23 Faz 2: YZ seviye motoru — findAIMoves/pickTopMove + aiLevelTopN, GameState.aiLevel, golden sıfır fark",web + port,569,1 (#614)
1.0.8,a47c3d2,06.09.2026,ROADMAP #23 Faz 3: web ürün yüzeyi — portta yalnızca league_points.dart imzası,web + port,569,1 (#614)
1.0.8,42db22b,06.09.2026,"ROADMAP #23 Faz 4: YZ zorluğu portta — ZORLUK seçici, seviyeli k-lig puanı/rozet üç kartta, games.ai_level, parite testi",web + port,569,1 (#614)
1.0.8,5a540cb,06.09.2026,Sürüm 1.0.8 — yalnız sürüm adı (pubspec.yaml + env.dart),yalnız port,569,1 (#614)
1.0.8,7a7bc26,06.09.2026,"Zorluk seçicisinin açıklaması: her seviyede, kullanıcıya hitapla, puanı leaguePoints'ten",web + port,569,1 (#614)
1.0.8,df26f46,07.09.2026,Zorluk rozeti üç renk + tahta şeridi + seçici stili; kart altı hizalı puan satırı,web + port,569,1 (#614)
1.0.8,dd55ae0,07.09.2026,"ROADMAP #23 Faz 5: Zor motoru = geniş arama, seçici web+portta açık; seviye açıklamasında ikincilik + misafir notu",web + port,569,1 (#614)
1.0.8,f4de936,07.09.2026,Misafir Setup boşluk eşitlemesi (link altı 16px) + açıklama metninde nokta cümlenin sonunda,web + port,569,1 (#614)
1.0.9,4f5d31f,07.09.2026,"Onboarding Faz 4 — tanıtımın port ikizi: ui/tutorial/ (senaryo + ekran), kapı (util/onboarding.dart, FlagsStore.seenTutorial), BoardWidget.targets/coach, RackWidget.highlight, drag_feel.dart (üç ekranın ortak sürükleme hissi)",yalnız port,581,1 (#614)
1.0.9,e2b6cfe,07.09.2026,"Tanıtımın tarayıcı turu: karşılama penceresi, balon hiza hatası (Stack gevşek kısıt), punto/iki satır, OYNA okunun hedefi, raf balonunun şeridi örtmemesi, ""bölge"" terimi",web + port,581,1 (#614)
1.0.9,1abde38,08.09.2026,Sürüm 1.0.9 — kapalı teste gidecek paketin adı (yalnız sürüm adı),yalnız port,581,1 (#614)
1.1.0,80f3769,08.09.2026,"Onboarding Faz 2·3·5: bağlamsal ipuçları (vergi/çarpan/bölge), tanıtımı tekrar oynama, tutorial_events ölçümü — ✅ Android paketine girer (9 dosya lib/)",web + port,627,1 (#614)
1.1.0,61b278a,08.09.2026,FAZ C — App Store yayını: plan (#24) + Universal Links web yarısı + iOS Firebase yapılandırması — ⛔ Android paketine girmez (yalnız ios/),yalnız port,girmedi (yalnız ios/),1 (#614)
1.1.0,9e65b7b,08.09.2026,FAZ C 24.2/24.3/24.4: iOS entitlements + bildirim kanalı + Mac'siz imzalama zinciri — ⛔ Android paketine girmez,yalnız port,girmedi (yalnız ios/),1 (#614)
1.1.0,ecbbbaa,09.09.2026,FAZ C: mağaza ekran görüntüsü boru hattı (gerçek iOS simülatörü) + trader/kayıt senkronu — ⛔ yalnız CI/fastlane,yalnız port,girmedi (CI/fastlane),girmedi (CI/fastlane)
1.1.0,ef28e7b,09.09.2026,24.2: match anahtarlıkta düşüyordu (setup_ci) + Android kapalıyken iOS atlanıyordu — ⛔ yalnız CI/fastlane,yalnız port,girmedi (CI/fastlane),girmedi (CI/fastlane)
1.1.0,1df055e,09.09.2026,24.2: match GEÇTİ — build_app'in workspace/çıktı yolları düzeltildi — ⛔ yalnız CI/fastlane,yalnız port,girmedi (CI/fastlane),girmedi (CI/fastlane)
1.1.0,1755311,09.09.2026,"24.2: imzalama — Flutter otomatik, match elle (update_code_signing_settings) — ⛔ yalnız CI/fastlane",yalnız port,girmedi (CI/fastlane),girmedi (CI/fastlane)
1.1.0,a0dc9dc,09.09.2026,24.2: imzalı .ipa ÜRETİLDİ — Apple bundle'ı iPad yönelimleri yüzünden reddetti — ⛔ yalnız ios/,yalnız port,girmedi (yalnız ios/),1 (#614)
1.1.0,2015ab6,10.09.2026,"§25 iPad manzara: ölçüldü, karara bağlandı, gerileme kapısı kuruldu (ipad_layout_test.dart) — ⛔ yalnız test/",yalnız port,girmedi (yalnız test/),girmedi (yalnız test/)
1.1.0,46664f6,10.09.2026,"""Kalan Taşlar"" penceresi myIndex -1'de ÇÖKÜYORDU (port-only; JS undefined verir, Dart RangeError atar) — ✅ Android paketine girer",yalnız port,627,620
1.1.0,bc18730,10.09.2026,"Arkadaşlar modalı ""davet"" diline geçti: İstekler→Davetler, Arkadaşlarım→Arkadaşlar + sekme içindeki metinler — ✅ Android paketine girer",web + port,627,627
1.1.0,a4c809b,11.09.2026,İlk TestFlight turunun üç bulgusu: hiç oynanmamış oyunun bulut kaydı · tanıtım X2/X3 rozetleri · yapışık OYUNU BAŞLAT (+ sürüm 1.1.0) — ✅ Android paketine girer,web + port,627,627
1.1.0,6382820,11.09.2026,FAZ C 24.5: mağaza kareleri başlıklı set + 7. kare + karelerden alfa kanalı kaldırıldı (integration_test DEV bağımlılığı + test_driver/) — ⛔ ikiliye girmez,yalnız port,girmedi (dev bağımlılığı + integration_test/),633
1.1.0,a7eaf07,11.09.2026,Mağaza kareleri DEBUG bandı taşıyordu — o güne kadarki bütün setler çöp — ⛔ yalnız integration_test/,yalnız port,girmedi (yalnız integration_test/),girmedi (yalnız integration_test/)
1.1.0,e0ea61b,11.09.2026,"Mağaza kareleri (bindirmeli şerit + 2. kare 4 kişilik) · Admin: işletim sistemi kırılımı ""Cihaz"" tablosuna girdi — ⛔ port ikilisine girmez (web + integration_test/)",web + port,girmedi (yalnız integration_test/),girmedi (yalnız integration_test/)
1.1.0,8708896,11.09.2026,"Mağaza kareleri: pencereler oyun ekranının ÜSTÜNDE + yerel önizleme (npm run preview-store-frames); SetupScreen.showDiagnostics bayrağı — ⚠ lib/ DEĞİŞTİ, ikiliye girer, ama varsayılan true → üretim davranışı AYNI",yalnız port,659,640
1.1.0,9b4a793,11.09.2026,Mağaza kareleri: iPad'de açılmayan pencere kapısı + koşu #21'in ölçümleri — ⛔ yalnız integration_test/,yalnız port,girmedi (yalnız integration_test/),girmedi (yalnız integration_test/)
1.1.0,530a96e,11.09.2026,"Canlı oyun: sahte ""Sıra sende değil."" (idempotency anahtarı çağırana açıldı; ham PostgrestException dökümü ServerRejection'a soyuldu) + sonsuz ""Yükleniyor…"" (ilk yükleme, listeler ve süpürmeler 20 snlik tavanın altına) — ✅ Android paketine girer",web + port,659,654
1.1.0,c22b757,11.09.2026,Mağaza kareleri: rütbe mührü çıkmıyordu — animasyon bitene kadar bekle — ⛔ yalnız integration_test/,yalnız port,girmedi (yalnız integration_test/),girmedi (yalnız integration_test/)
1.1.0,9c62289,12.09.2026,Canlı oyunda mesaj satırı yazı ölçeğinde kesiliyordu (ConstrainedBox) + bağlamsal ipucu tavanı 2→1 + oyun sonu kutlaması (ilk galibiyet / ilk puan) — ✅ Android paketine girer,web + port,665,665
